image_idx,sheet_id,label,filename,width_px,height_px,year,method,instrument,crop_filename,crop_w,crop_h,pct_retained,margin_left,margin_right,margin_top,margin_bottom
0,31-XXIV-q,KK 083-04-01/085-04-10_002 - 05978 - 001,000_KK 083-04-01-085-04-10_002 - 05978 - 001.jpg,5009,6073,1932,terrestrial,theodoliet- en bergboussole,crop_000.jpg,4343,4341,62.0,0.07027,0.06269,0.07838,0.20682
1,31-XXV-dh,KK 083-04-01/085-04-10_003 - 05978 - 002,001_KK 083-04-01-085-04-10_003 - 05978 - 002.jpg,5038,6246,1932-1933,aerial,luchtfoto,crop_001.jpg,4368,4464,62.0,0.06987,0.06312,0.07813,0.20717
2,32-XXIII-m,KK 083-04-01/085-04-10_004 - 05978 - 003,002_KK 083-04-01-085-04-10_004 - 05978 - 003.jpg,5044,6095,1932,aerial,luchtfoto,crop_002.jpg,4373,4357,62.0,0.07058,0.06245,0.0781,0.20705
3,32-XXIII-p,KK 083-04-01/085-04-10_005 - 05978 - 004,003_KK 083-04-01-085-04-10_005 - 05978 - 004.jpg,5045,6071,1934,aerial,luchtfoto,crop_003.jpg,4374,4370,62.4,0.07056,0.06244,0.07313,0.20705
4,32-XXIII-q,KK 083-04-01/085-04-10_006 - 05978 - 005,004_KK 083-04-01-085-04-10_006 - 05978 - 005.jpg,5041,6097,1932-1934,aerial,luchtfoto,crop_004.jpg,4371,4358,62.0,0.06983,0.06308,0.07807,0.20715
5,32-XXIV-c,KK 083-04-01/085-04-10_007 - 05978 - 006,005_KK 083-04-01-085-04-10_007 - 05978 - 006.jpg,5074,6082,1934,aerial,luchtfoto,crop_005.jpg,4399,4378,62.4,0.07016,0.06287,0.073,0.20717
6,32-XXIV-d,KK 083-04-01/085-04-10_008 - 05978 - 007,006_KK 083-04-01-085-04-10_008 - 05978 - 007.jpg,5015,6055,1934,aerial,luchtfoto,crop_006.jpg,4348,4328,62.0,0.06939,0.06361,0.07795,0.20727
7,32-XXIV-g,KK 083-04-01/085-04-10_009 - 05978 - 008,007_KK 083-04-01-085-04-10_009 - 05978 - 008.jpg,5049,6113,1933,aerial,luchtfoto,crop_007.jpg,4377,4370,62.0,0.07051,0.06259,0.07852,0.20661
8,32-XXIV-h,KK 083-04-01/085-04-10_010 - 05978 - 009,008_KK 083-04-01-085-04-10_010 - 05978 - 009.jpg,5054,6112,1933,aerial,luchtfoto,crop_008.jpg,4382,4369,62.0,0.06965,0.06332,0.07788,0.2073
9,32-XXIV-k,KK 083-04-01/085-04-10_011 - 05978 - 010,009_KK 083-04-01-085-04-10_011 - 05978 - 010.jpg,5077,6103,1932,aerial,luchtfoto,crop_009.jpg,4402,4362,62.0,0.07012,0.06283,0.07799,0.20728
10,32-XXIV-l,KK 083-04-01/085-04-10_012 - 05978 - 011,010_KK 083-04-01-085-04-10_012 - 05978 - 011.jpg,5067,6080,1932-1933,aerial,luchtfoto,crop_010.jpg,4393,4346,62.0,0.07026,0.06276,0.07829,0.20691
11,32-XXIV-m,KK 083-04-01/085-04-10_013 - 05978 - 012,011_KK 083-04-01-085-04-10_013 - 05978 - 012.jpg,5050,6103,1934,aerial,luchtfoto,crop_011.jpg,4378,4362,62.0,0.0697,0.06337,0.07799,0.20728
12,32-XXIV-ni,KK 083-04-01/085-04-10_014 - 05978 - 013,012_KK 083-04-01-085-04-10_014 - 05978 - 013.jpg,5077,6678,1932-1933,aerial,luchtfoto,crop_012.jpg,4402,4955,64.3,0.07012,0.06283,0.07008,0.2071
13,32-XXIV-o,KK 083-04-01/085-04-10_015 - 05978 - 014,013_KK 083-04-01-085-04-10_015 - 05978 - 014.jpg,5022,6071,1932-1933,aerial,luchtfoto,crop_013.jpg,4354,4340,62.0,0.07009,0.06292,0.07775,0.20738
14,32-XXIV-p,KK 083-04-01/085-04-10_016 - 05978 - 015,014_KK 083-04-01-085-04-10_016 - 05978 - 015.jpg,5055,6099,1933,aerial,luchtfoto,crop_014.jpg,4383,4360,62.0,0.06963,0.0633,0.07739,0.20774
